iter	Passed	Remaining
586	5849	4115
587	5858	4105
588	5868	4095
589	5877	4084
590	5887	4074
591	5898	4065
592	5909	4055
593	5919	4046
594	5929	4035
595	5938	4025
596	5947	4015
597	5956	4004
598	5965	3993
599	5975	3983
600	5986	3974
601	5996	3964
602	6005	3954
603	6016	3944
604	6025	3934
605	6034	3923
606	6044	3913
607	6054	3903
608	6064	3893
609	6073	3882
610	6082	3872
611	6092	3862
612	6101	3851
613	6110	3841
614	6119	3831
615	6129	3821
616	6140	3811
617	6149	3801
618	6159	3791
619	6168	3780
620	6178	3770
621	6187	3760
622	6197	3750
623	6207	3740
624	6216	3730
625	6226	3719
626	6234	3708
627	6243	3698
628	6253	3688
629	6260	3676
630	6270	3666
631	6279	3656
632	6289	3646
633	6299	3636
634	6308	3626
635	6317	3615
636	6326	3605
637	6335	3594
638	6344	3584
639	6354	3574
640	6363	3563
641	6373	3554
642	6382	3543
643	6390	3532
644	6399	3522
645	6409	3512
646	6419	3502
647	6429	3492
648	6439	3482
649	6449	3473
650	6459	3463
651	6469	3453
652	6479	3443
653	6489	3433
654	6499	3423
655	6509	3413
656	6518	3403
657	6528	3393
658	6537	3382
659	6547	3373
660	6557	3363
661	6566	3352
662	6576	3342
663	6585	3332
664	6595	3322
665	6605	3312
666	6615	3302
667	6625	3292
668	6635	3283
669	6645	3273
670	6656	3263
671	6666	3254
672	6676	3243
673	6686	3234
674	6695	3223
675	6706	3214
676	6717	3205
677	6729	3195
678	6738	3185
679	6748	3175
680	6759	3166
681	6768	3156
682	6778	3146
683	6789	3136
684	6798	3126
685	6808	3116
686	6817	3106
687	6827	3096
688	6836	3086
689	6846	3075
690	6855	3065
691	6865	3055
692	6874	3045
693	6884	3035
694	6894	3025
695	6905	3016
696	6915	3006
697	6925	2996
698	6935	2986
699	6945	2976
700	6954	2966
701	6963	2956
702	6972	2945
703	6982	2935
704	6992	2926
705	7002	2915
706	7012	2905
707	7021	2895
708	7031	2885
709	7040	2875
710	7051	2866
711	7062	2856
712	7071	2846
713	7081	2836
714	7091	2826
715	7100	2816
716	7110	2806
717	7120	2796
718	7130	2786
719	7140	2777
720	7149	2766
721	7159	2756
722	7169	2746
723	7179	2736
724	7188	2726
725	7199	2717
726	7209	2707
727	7217	2696
728	7228	2687
729	7239	2677
730	7250	2668
731	7260	2658
732	7270	2648
733	7279	2638
734	7289	2628
735	7299	2618
736	7310	2608
737	7317	2597
738	7328	2588
739	7337	2578
740	7348	2568
741	7358	2558
742	7369	2548
743	7378	2538
744	7388	2529
745	7398	2519
746	7406	2508
747	7415	2498
748	7425	2488
749	7434	2478
750	7445	2468
751	7455	2458
752	7464	2448
753	7474	2438
754	7483	2428
755	7493	2418
756	7502	2408
757	7512	2398
758	7522	2388
759	7532	2378
760	7542	2368
761	7552	2358
762	7561	2348
763	7571	2338
764	7580	2328
765	7590	2318
766	7599	2308
767	7609	2298
768	7619	2288
769	7629	2278
770	7638	2268
771	7649	2259
772	7659	2249
773	7667	2238
774	7678	2229
775	7688	2219
776	7697	2209
777	7708	2199
778	7718	2189
779	7728	2179
780	7738	2169
781	7748	2159
782	7758	2150
783	7767	2140
784	7777	2130
785	7787	2120
786	7797	2110
787	7807	2100
788	7817	2090
789	7827	2080
790	7837	2070
791	7847	2060
792	7858	2051
793	7870	2041
794	7881	2032
795	7892	2022
796	7901	2012
797	7910	2002
798	7919	1992
799	7929	1982
800	7939	1972
801	7948	1962
802	7958	1952
803	7967	1942
804	7976	1932
805	7986	1922
806	7996	1912
807	8006	1902
808	8015	1892
809	8025	1882
810	8032	1871
811	8041	1861
812	8049	1851
813	8059	1841
814	8068	1831
815	8078	1821
816	8089	1811
817	8098	1801
818	8108	1792
819	8118	1782
820	8128	1772
821	8138	1762
822	8147	1752
823	8157	1742
824	8167	1732
825	8176	1722
826	8186	1712
827	8195	1702
828	8204	1692
829	8215	1682
830	8225	1672
831	8235	1662
832	8244	1652
833	8254	1642
834	8263	1632
835	8273	1623
836	8283	1613
837	8293	1603
838	8302	1593
839	8312	1583
840	8322	1573
841	8331	1563
842	8341	1553
843	8351	1543
844	8362	1533
845	8371	1523
846	8381	1514
847	8391	1504
848	8402	1494
849	8411	1484
850	8421	1474
851	8432	1464
852	8441	1454
853	8450	1444
854	8459	1434
855	8469	1424
856	8478	1414
857	8488	1404
858	8498	1394
859	8509	1385
860	8518	1375
861	8528	1365
862	8538	1355
863	8547	1345
864	8556	1335
865	8566	1325
866	8575	1315
867	8584	1305
868	8594	1295
869	8604	1285
870	8614	1275
871	8624	1266
872	8634	1256
873	8644	1246
874	8654	1236
875	8665	1226
876	8674	1216
877	8683	1206
878	8692	1196
879	8702	1186
880	8712	1176
881	8722	1166
882	8732	1157
883	8741	1147
884	8752	1137
885	8762	1127
886	8771	1117
887	8782	1107
888	8792	1097
889	8802	1087
890	8811	1077
891	8821	1068
892	8831	1058
893	8841	1048
894	8850	1038
895	8860	1028
896	8870	1018
897	8880	1008
898	8889	998
899	8899	988
900	8908	978
901	8918	969
902	8929	959
